Language,Participant,Occurency_order,Item,Consistency,Cons_level,Lexicality,Accuracy,RT,logRT,Outlier
French,102,97,Fr_inc_kilo-giveaux.wav,inc,3,pseudoword,1,1058,1.008161889,0
French,102,98,Fr_con_roulade-bounade.wav,con,NA,pseudoword,1,1104,1.014323024,0
French,102,99,Fr_con_douleur.wav,con,NA,word,1,873,0.980338081,0
French,102,100,Fr_inc_foret-jolet.wav,inc,3,pseudoword,1,1082,1.011409087,0
French,102,101,Fr_inc3_kilo.wav,inc,3,word,1,809,0.969316174,0
French,102,102,Fr_con_date-mabe.wav,con,0,pseudoword,1,937,0.990579864,0
French,102,103,Fr_inc_cicatrice.wav,inc,NA,word,1,901,0.984908264,0
French,102,104,Fr_inc_quatre-sadre.wav,inc,NA,pseudoword,0,772,0.9625391,1
French,102,105,Fr_inc2_quai.wav,inc,2,word,1,830,0.973026031,0
French,102,106,Fr_inc3_sirene.wav,inc,3,word,1,781,0.964217011,0
French,102,107,Fr_inc2_cote.wav,inc,2,word,1,935,0.990270537,0
French,102,108,Fr_con_bonbon-donmon.wav,con,NA,pseudoword,0,1341,1.042476259,0
French,102,109,Fr_inc_quai-zin.wav,inc,2,pseudoword,1,890,0.983130002,0
French,102,110,Fr_con_madame-patame.wav,con,NA,pseudoword,1,1303,1.038314805,0
French,102,111,Fr_con_parole.wav,con,NA,word,1,784,0.964772021,0
French,102,112,Fr_inc_castor-sactor.wav,inc,2,pseudoword,1,986,0.997958972,0
French,102,113,Fr_inc_cicatrice-quigeatrice.wav,inc,NA,pseudoword,1,921,0.988086543,0
French,102,114,Fr_con0_brulure.wav,con,0,word,1,817,0.970740686,0
French,102,115,Fr_con0_date.wav,con,0,word,1,926,0.988870329,0
French,102,116,Fr_inc_phare-jale.wav,inc,NA,pseudoword,1,967,0.995142158,0
French,102,117,Fr_con0_vapeur.wav,con,0,word,1,773,0.962726498,0
French,102,118,Fr_inc3_gifle.wav,inc,3,word,1,879,0.981329625,0
French,102,119,Fr_inc_phare.wav,inc,NA,word,1,896,0.98410267,0
French,102,120,Fr_inc_cousin.wav,inc,NA,word,1,599,0.925808941,0
French,103,1,Fr_inc_pharmacie-sarnasie.wav,inc,NA,pseudoword,0,1211,1.027714714,0
French,103,2,Fr_con0_lardon.wav,con,0,word,1,1227,1.029614854,0
French,103,3,Fr_inc2_castor.wav,inc,2,word,1,827,0.972501837,0
French,103,4,Fr_con_boule-dougne.wav,con,NA,pseudoword,1,888,0.982804322,0
